replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	HIGH	0.60	5.00	CSAA	0.00	Optimal	true	124473.2558537074	7.904075318e-05	3.498244	9	0|2|3|4|6|8|9|10|11	148791.7523392414	67134.1448593421	277505.1999440216	329989.7067617077	501646.5693800616	0.2921748485	3673.4042550242	0.6862171200
2	HIGH	0.60	5.00	C_CHI2	0.50	PrimalFeasible	true	148349.9502840702	0.000000000	1.694004	9	0|2|3|4|6|8|9|10|11	148791.7523392414	67134.1448593421	277505.1999440216	329989.7067617077	501646.5693800616	0.2921748485	3673.4042550242	0.6862171200
3	HIGH	1.00	1.00	D	0.00	Optimal	true	67301.5141126310	0.000000000	0.006339	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	1.00	SAA	0.00	Optimal	true	88435.8838182283	6.095854329e-05	1.242594	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	1.00	CSAA	0.00	Optimal	true	87869.3429056649	0.000000000	1.187160	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	1.00	C_CHI2	0.50	PrimalFeasible	true	107499.4096075505	9.862042281e-07	4.834106	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	2.00	D	0.00	Optimal	true	67484.2553810951	0.000000000	0.006971	9	0|1|4|5|6|7|8|9|10	89232.7543586965	47057.2588724321	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	1691.0755406768	0.3984789457
3	HIGH	1.00	2.00	SAA	0.00	Optimal	true	89377.8190266361	0.000000000	1.215480	9	0|1|4|5|6|7|8|9|10	89232.7543586965	47057.2588724321	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	1691.0755406768	0.3984789457
3	HIGH	1.00	2.00	CSAA	0.00	Optimal	true	88998.9270530857	0.000000000	1.055286	9	0|1|4|5|6|7|8|9|10	89232.7543586965	47057.2588724321	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	1691.0755406768	0.3984789457
3	HIGH	1.00	2.00	C_CHI2	0.50	PrimalFeasible	true	108045.0390464614	0.000000000	2.263690	9	0|1|4|5|6|7|8|9|10	89232.7543586965	47057.2588724321	169922.3277302487	239312.7476049484	341359.1448848811	0.0705475912	1691.0755406768	0.3984789457
